"","Site","State","SeasonYear","TOTAL","CALIDRIS","DOWITCHER","PHALAROPE","YELLOWLEGS","PLOVER","UNKLARGE","UNKMEDSMALL","AMAV","AMGP","BASA","BBPL","BBSA","BNST","DUNL","GRYE","HUGO","KILL","LBCU","LESA","LEYE","MAGO","PAGP","PESA","PIPL","REKN","REPH","RNPH","RUFF","RUTU","SAND","SEPL","SESA","SOSA","SPSA","STSA","UPSA","WATA","WESA","WHIM","WILL","WIPH","WISN","CUSA"
"358","Lake Elsinore","California","Fall 2024",236,0,9,0,31,0,0,0,27,0,0,0,0,40,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0
"359","Lake Isabella","California","Fall 2024",19,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"360","Lancaster WTP","California","Fall 2024",549,0,1,0,0,0,0,0,4,0,1,0,0,0,0,2,0,25,0,27,0,0,0,0,0,0,0,240,0,0,0,2,0,0,2,0,0,0,3,0,2,240,0,0
"361","Modoc NWR","California","Fall 2024",1022,30,418,4,10,0,0,0,33,0,0,0,0,346,0,23,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,26,9,5,0
"362","Mono Lake","California","Fall 2024",26771,85,7,107,0,0,0,0,739,0,1,0,0,0,3,15,0,114,41,61,1,2,0,0,0,0,0,19342,0,0,10,10,0,0,24,0,0,0,132,1,11,6063,1,0
"363","Owens Lake","California","Fall 2024",20514,2290,5,0,0,0,0,0,4653,0,5,0,0,441,76,92,0,95,119,6188,22,3,0,0,0,0,0,4489,0,0,0,10,0,0,25,0,0,0,420,0,16,1561,0,0
"364","Piute Ponds","California","Fall 2024",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"365","Said Valley Reservoir","California","Fall 2024",24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"366","Salton Sea","California","Fall 2024",98785,12202,103,2079,7,0,0,0,994,0,2,181,0,11607,727,60,0,98,12,4678,19,97,0,0,0,0,0,1778,0,0,4,95,0,1,32,94,0,0,20569,0,266,86,0,0
"367","San Jacinto Wildlife Area","California","Fall 2024",1155,0,0,0,0,0,0,0,713,0,0,0,0,343,0,27,0,17,9,40,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"368","Sierra Valley","California","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369","Silva Flat Reservoir","California","Fall 2024",41,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"370","Tinemaha Reservoir","California","Fall 2024",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"371","Topaz Lake","California","Fall 2024",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"372","Upper Middle Lower Alaki Lakes","California","Fall 2024",1399,1274,0,30,2,0,0,0,21,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"373","Willow Creek Wildlife Area","California","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"374","Alamosa NWR","Colorado","Fall 2024",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,13,0
"375","Arapaho NWR","Colorado","Fall 2024",214,0,23,0,0,0,0,0,39,0,34,0,0,0,0,5,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,102,0,0
"376","Blanca Wetlands","Colorado","Fall 2024",1186,0,1,0,0,0,0,0,294,0,188,1,0,0,0,2,0,11,2,21,0,1,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,43,0,0,596,0,0
"377","Blue Mesa Reservoir Iola Basin","Colorado","Fall 2024",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"378","Fruitgrowers Reservoir","Colorado","Fall 2024",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"379","Hebron Waterfowl Area","Colorado","Fall 2024",259,0,0,0,0,0,0,0,72,0,51,0,0,0,0,1,0,61,0,4,7,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,54,1,0
"380","Highline Reservoir","Colorado","Fall 2024",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,0
"381","Lake John","Colorado","Fall 2024",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"382","Monte Vista NWR","Colorado","Fall 2024",37,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,0,0
"383","Rio Blanco SWA","Colorado","Fall 2024",40,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,15,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,4,0,0,2,0,0
"384","Russell Lakes SWA","Colorado","Fall 2024",416,26,10,0,0,0,0,0,40,0,68,1,0,7,0,6,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,235,0,0
"385","San Luis Lakes SWA","Colorado","Fall 2024",698,0,0,0,0,0,0,0,410,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0
"386","Walden Reservoir","Colorado","Fall 2024",983,0,0,0,0,0,0,0,32,0,20,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,912,0,0
"387","Ninepipe NWR & WMA","Confederated Salish and Kootenai Tribes","Fall 2024",605,20,15,0,3,0,0,0,0,0,127,0,0,0,0,106,0,116,0,17,60,2,0,1,0,0,0,1,0,0,0,0,13,12,60,3,0,0,0,0,0,1,48,0
"388","Pablo NWR","Confederated Salish and Kootenai Tribes","Fall 2024",488,0,8,0,0,0,0,0,0,0,263,4,1,0,0,28,0,28,0,28,17,0,0,6,0,0,0,0,0,0,0,10,50,1,16,6,0,0,16,0,0,0,6,0
"389","American Falls","Idaho","Fall 2024",1012,160,237,0,0,0,0,0,118,0,54,0,0,9,0,33,0,172,1,58,21,0,0,0,0,0,0,0,0,0,0,0,9,41,21,0,0,0,55,0,0,8,15,0
"390","Bear Lake NWR","Idaho","Fall 2024",103,0,0,0,0,0,0,0,10,0,0,0,0,29,0,0,0,24,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,26,0,0,0,0,0,0,0,1,0
"391","Ben Ross Reservoir","Idaho","Fall 2024",335,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,132,0,26,0,0,0,4,0,0,0,0,0,0,0,0,0,9,97,0,0,0,29,0,0,0,36,0
"392","Boise River Rd SW of Notus","Idaho","Fall 2024",199,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
"393","Bruneau Duck Ponds","Idaho","Fall 2024",162,0,9,0,0,0,0,0,11,0,29,0,0,15,0,0,0,62,0,10,2,0,0,1,0,0,0,14,0,0,0,0,1,1,0,2,0,0,0,0,2,3,0,0
"394","Bruneau Sand Dunes State Park","Idaho","Fall 2024",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"395","Camas Prairie Centennial Marsh WMA","Idaho","Fall 2024",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"396","Clearwater River","Idaho","Fall 2024",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"397","Deer Flat NWR - Lake Lowell","Idaho","Fall 2024",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"398","Dry Lakes North of Nampa","Idaho","Fall 2024",109,0,5,0,0,0,0,0,10,0,0,0,0,4,0,1,0,43,0,7,1,0,0,0,0,0,0,10,0,0,0,0,2,0,2,0,0,0,24,0,0,0,0,0
"399","Fort Boise WMA","Idaho","Fall 2024",95,0,21,0,6,0,0,0,0,0,0,0,0,22,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
"400","Grays Lake NWR","Idaho","Fall 2024",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"401","Lake Cascade","Idaho","Fall 2024",441,0,2,0,0,0,0,0,0,0,126,0,0,0,0,6,0,57,0,46,8,0,0,21,0,0,0,0,0,0,0,2,0,4,41,0,0,0,49,0,0,1,78,0
"402","Little Camas Reservoir","Idaho","Fall 2024",26,0,4,0,0,0,0,0,2,0,0,0,0,3,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0
"403","Magic Reservoir","Idaho","Fall 2024",24,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"404","Mann Lake","Idaho","Fall 2024",217,0,4,0,0,0,0,0,16,0,7,0,0,0,0,0,0,26,0,9,5,0,0,3,0,0,0,14,0,0,0,1,3,1,4,4,0,0,120,0,0,0,0,0
"405","Market Lake WMA","Idaho","Fall 2024",33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,1,0
"406","Mt Home Reservoir","Idaho","Fall 2024",21,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
"407","Oxford Slough","Idaho","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408","Roswell Marsh WHA","Idaho","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"409","Simplot Pastures","Idaho","Fall 2024",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"410","Ted Trueblood WHA","Idaho","Fall 2024",50,0,5,0,0,0,0,0,6,0,0,0,0,16,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0
"411","Tolo Lake","Idaho","Fall 2024",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"412","Jicarilla Lakes","Jicarilla Apache Nation","Fall 2024",47,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,7,10,2,2,0,0,0,0,0,0,0,5,0
"413","Benton Lake NWR","Montana","Fall 2024",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"414","Big Lake - Grass Lake NWR","Montana","Fall 2024",692,131,0,0,0,0,0,0,22,0,202,0,0,36,0,11,0,29,0,52,23,23,0,0,0,0,0,120,0,0,0,0,0,0,1,1,0,0,0,0,2,39,0,0
"415","Bowdoin NWR","Montana","Fall 2024",188,0,8,0,0,0,0,0,4,0,24,0,0,0,0,22,0,16,16,7,24,7,0,0,0,0,0,0,0,0,0,9,0,12,19,12,0,0,2,0,6,0,0,0
"416","Canyon Ferry Lake","Montana","Fall 2024",279,0,5,0,6,0,0,0,0,0,93,0,0,0,0,4,6,38,0,28,9,0,0,0,0,0,0,21,0,0,0,0,0,4,17,26,0,0,0,0,0,17,5,0
"417","Clark Canyon Reservoir","Montana","Fall 2024",492,0,1,0,0,0,0,0,13,0,176,0,0,0,0,5,0,94,0,8,16,2,0,0,0,0,0,1,0,0,0,0,6,3,11,0,0,0,1,0,1,149,5,0
"418","Cottonwood Reservoir","Montana","Fall 2024",161,0,0,0,0,0,0,0,7,0,75,0,0,0,0,8,0,42,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,10,0,0
"419","Freezeout Lake WMA","Montana","Fall 2024",3734,29,400,0,0,0,0,0,514,0,218,0,0,69,0,13,1,162,3,94,247,408,0,0,0,0,0,838,0,0,0,1,43,2,15,4,0,0,1,0,23,638,11,0
"420","Goose Lake wetland complex","Montana","Fall 2024",145,0,0,0,0,0,0,0,4,0,12,0,0,3,4,21,0,12,14,8,18,10,0,0,0,0,0,3,0,0,0,8,0,0,18,0,0,0,2,0,6,2,0,0
"421","Harrison/Willow Creek Reservoir","Montana","Fall 2024",420,0,10,0,0,0,0,0,7,0,180,0,0,15,0,72,0,28,10,13,8,1,0,5,0,0,0,25,0,0,0,0,24,3,5,9,0,0,4,0,0,1,0,0
"422","Lee Metcalf NWR","Montana","Fall 2024",13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"423","Medicine Lake NWR Complex","Montana","Fall 2024",190,0,26,0,0,0,0,0,8,0,14,0,0,2,0,19,0,24,21,4,22,12,0,0,0,0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,16,0,0,0
"424","Nelson Reservoir","Montana","Fall 2024",62,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6,0,9,23,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0
"425","Syme Slough","Montana","Fall 2024",35,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6,0,7,2,4,7,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"426","Warm Springs Reservoir (MT)","Montana","Fall 2024",406,0,5,0,0,0,0,0,12,0,193,1,0,0,0,13,0,88,0,12,27,1,0,0,0,0,0,1,0,0,0,0,4,6,8,3,0,0,1,0,0,23,8,0
"427","Ganado Lake","Navajo Nation","Fall 2024",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"428","Red Lake","Navajo Nation","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"429","Artesia Lake","Nevada","Fall 2024",87,36,12,0,0,0,0,0,0,0,0,0,0,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"430","Ash Meadows NWR","Nevada","Fall 2024",78,0,5,0,0,0,0,0,3,0,0,0,0,2,0,10,0,2,0,16,1,0,0,0,0,0,0,2,0,0,0,4,0,1,3,0,0,0,25,0,0,4,0,0
"431","Bassett Lake and Slough","Nevada","Fall 2024",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"432","Bowman Reservoir (Logendale)","Nevada","Fall 2024",19,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"433","Boyd Reservoir","Nevada","Fall 2024",16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"434","Bull Run Reservoir","Nevada","Fall 2024",110,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,0,0
"435","Comins Lake area","Nevada","Fall 2024",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"436","Continental Lake","Nevada","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"437","Crintendon Reservoir","Nevada","Fall 2024",61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,1,0,0,5,0,0,0,0,0
"438","Deer Creek Reservoir","Nevada","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439","Diamond Valley (Playa Wells)","Nevada","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"440","Duck Flat","Nevada","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"441","Gridley Lake","Nevada","Fall 2024",48,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0
"442","Henderson Sewage Ponds","Nevada","Fall 2024",55,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,40,0,0
"443","Humboldt WMA","Nevada","Fall 2024",6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"444","Illipah Reservoir","Nevada","Fall 2024",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,20,0,0,2,0,0
"445","Jakes Creek Reservoir","Nevada","Fall 2024",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"446","Key Pittman WMA","Nevada","Fall 2024",269,8,0,87,0,0,0,0,7,0,0,0,0,0,0,0,0,51,0,46,0,0,0,0,0,0,0,14,0,0,0,0,0,1,20,0,0,0,22,0,0,12,1,0
"447","Lahontan Valley","Nevada","Fall 2024",19807,307,1438,107,4,0,0,0,9481,0,0,0,0,5220,1,24,0,40,2,193,10,1,0,0,0,0,0,686,0,0,1,0,1,0,0,0,0,0,538,0,0,1583,0,0
"448","Lake Mead NRA","Nevada","Fall 2024",586,0,9,0,3,0,0,0,172,0,4,2,0,25,2,8,0,22,2,78,3,0,0,0,0,0,0,145,0,0,1,3,10,2,4,0,0,0,49,0,0,35,0,0
"449","Mason Valley WMA","Nevada","Fall 2024",20,0,0,0,0,0,0,0,3,0,0,0,0,6,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"450","Massacre Lake","Nevada","Fall 2024",322,10,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"451","Newark Valley","Nevada","Fall 2024",15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"452","Overton WMA","Nevada","Fall 2024",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
"453","Pahranagat NWR","Nevada","Fall 2024",169,0,0,48,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,3,5,0,0,0,0,0,0,9,0,0,0,1,0,0,33,0,0,0,16,0,1,2,0,0
"454","Parker Reservoir","Nevada","Fall 2024",38,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,12,0,0,0,0,0
"455","Ruby Valley","Nevada","Fall 2024",83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
"456","Sheldon NWR","Nevada","Fall 2024",33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0
"457","Smoke Creek Desert","Nevada","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"458","Snow Water Lake","Nevada","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459","South Fork Reservoir","Nevada","Fall 2024",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0
"460","Swan Lake NSA","Nevada","Fall 2024",116,0,5,0,0,0,0,0,2,0,0,0,0,62,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0
"461","Upper Las Vegas Wash","Nevada","Fall 2024",160,0,6,0,0,0,0,0,0,0,0,0,0,8,0,15,0,30,0,75,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,14,0,0
"462","Wabuska Marshes","Nevada","Fall 2024",46,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"463","Walker Lake","Nevada","Fall 2024",5089,10,0,4875,0,0,0,0,9,0,0,0,0,47,0,0,0,23,7,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,27,0,0,0,0,0,0,40,0,0
"464","Washoe Lake wetlands","Nevada","Fall 2024",68,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,35,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"465","Weber Reservoir","Nevada","Fall 2024",57,0,5,0,0,0,0,0,3,0,0,0,0,4,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0
"466","Wells WTP","Nevada","Fall 2024",56,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"467","West Wendover WTP","Nevada","Fall 2024",116,0,4,0,0,0,0,0,48,0,4,0,0,0,0,15,0,14,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,0,18,0,0
"468","White Lake","Nevada","Fall 2024",74,0,0,29,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"469","Wildhorse Reservoir SRA","Nevada","Fall 2024",497,113,32,0,0,0,0,0,11,0,1,0,0,5,0,2,0,119,0,0,5,0,0,1,0,0,0,80,0,0,0,0,0,0,7,0,0,0,63,0,0,29,29,0
"470","Willow Creek Reservoir","Nevada","Fall 2024",60,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"471","Wilson Reservoir SRA","Nevada","Fall 2024",139,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61,0,0,0,0,0
"472","Winnemucca Lake","Nevada","Fall 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"473","Zaga Ranch Pond","Nevada","Fall 2024",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"474","Zunino Reservoir (Jiggs)","Nevada","Fall 2024",170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,3,4,0,0,0,0,0,0,4,0,0,0,0,0,1,8,0,0,0,0,0,3,46,6,0
"475","Bernardo WMA","New Mexico","Fall 2024",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0
"476","Bitter Lake NWR","New Mexico","Fall 2024",1010,165,139,0,0,0,0,0,267,0,13,0,0,102,0,39,0,13,0,114,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,15,0,0,136,0,0
"477","Bosque del Apache NWR","New Mexico","Fall 2024",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
