"","Site","State","SeasonYear","TOTAL","CALIDRIS","DOWITCHER","PHALAROPE","YELLOWLEGS","PLOVER","UNKLARGE","UNKMEDSMALL","AMAV","AMGP","BASA","BBPL","BBSA","BNST","DUNL","GRYE","HUGO","KILL","LBCU","LESA","LEYE","MAGO","PAGP","PESA","PIPL","REKN","REPH","RNPH","RUFF","RUTU","SAND","SEPL","SESA","SOSA","SPSA","STSA","UPSA","WATA","WESA","WHIM","WILL","WIPH","WISN","CUSA"
"27","Topaz Lake","California","Fall 2022",356,23,0,6,0,0,0,0,6,0,0,0,0,0,0,1,0,36,0,4,0,0,0,0,0,0,0,258,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0
"28","Arapaho NWR","Colorado","Fall 2022",137,0,0,0,0,0,0,0,11,0,3,0,0,4,0,5,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,9,0
"29","Blanca Wetlands","Colorado","Fall 2022",2579,0,0,0,0,0,0,0,394,0,611,0,0,4,0,3,0,16,2,69,236,0,0,4,0,0,0,6,0,0,0,0,161,1,7,0,0,0,13,0,0,1047,0,0
"30","Walden Reservoir","Colorado","Fall 2022",862,0,0,0,0,0,0,0,4,0,3,0,0,0,0,13,0,1,0,0,19,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,2,806,0,0
"31","American Falls","Idaho","Fall 2022",1415,0,366,0,0,0,0,0,135,0,237,0,0,34,0,45,0,105,0,16,125,2,0,0,0,0,0,0,0,0,0,1,3,0,20,7,0,0,311,0,1,7,0,0
"32","Bear Lake NWR","Idaho","Fall 2022",148,1,0,0,2,0,0,0,6,0,0,1,0,53,0,11,0,36,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0
"33","Blacks Creek Reservoir","Idaho","Fall 2022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Camas Prairie Centennial Marsh WMA","Idaho","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Fort Boise WMA","Idaho","Fall 2022",23,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"36","Hubbard Reservoir","Idaho","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Indian Creek Reservoir","Idaho","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Little Camas Reservoir","Idaho","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Mackay Reservoir","Idaho","Fall 2022",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0
"40","Mann Lake","Idaho","Fall 2022",54,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,22,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,3,2,0
"41","Market Lake WMA","Idaho","Fall 2022",97,0,3,0,0,0,0,0,13,0,4,0,0,5,0,4,0,22,0,4,5,0,0,0,0,0,0,2,0,0,0,0,19,9,3,0,0,0,2,0,0,0,2,0
"42","Mormon Reservoir","Idaho","Fall 2022",27,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"43","Mud Lake WMA","Idaho","Fall 2022",29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2,1,0,0
"44","Oxford Slough","Idaho","Fall 2022",20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Roswell Marsh WHA","Idaho","Fall 2022",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Wilson Drainage Pond","Idaho","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Artesia Lake","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Ash Meadows NWR","Nevada","Fall 2022",31,0,3,0,0,0,0,0,1,0,0,0,0,1,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0
"49","Bassett Lake and Slough","Nevada","Fall 2022",15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0
"50","Bowman Reservoir (Logendale)","Nevada","Fall 2022",20,0,0,0,0,0,0,0,12,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Bull Run Reservoir","Nevada","Fall 2022",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"52","Comins Lake area","Nevada","Fall 2022",29,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Diamond Valley (Playa Wells)","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Duck Flat","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Glendale Pond","Nevada","Fall 2022",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"56","Goshute Lake area","Nevada","Fall 2022",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"57","Henderson Sewage Ponds","Nevada","Fall 2022",122,0,7,0,0,0,0,0,13,0,0,0,0,46,0,10,0,14,0,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,14,0,0
"58","Humboldt WMA","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Illipah Reservoir","Nevada","Fall 2022",14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"60","Jakes Creek Reservoir","Nevada","Fall 2022",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0
"61","Key Pittman WMA","Nevada","Fall 2022",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0
"62","Lahontan Valley","Nevada","Fall 2022",18034,1005,4562,456,55,0,0,0,6648,0,0,0,0,1289,0,83,0,23,10,543,11,76,0,0,0,0,0,1801,0,0,0,0,0,0,0,0,0,0,388,0,2,1082,0,0
"63","Long Valley","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Newark Valley","Nevada","Fall 2022",5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"65","Overton WMA","Nevada","Fall 2022",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"66","Pahranagat NWR","Nevada","Fall 2022",58,4,4,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,0,33,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"67","Parker Reservoir","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Ruby Valley","Nevada","Fall 2022",79,9,4,0,0,0,0,0,10,0,0,0,0,10,0,1,0,12,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,19,0,0
"69","Smoke Creek Desert","Nevada","Fall 2022",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Snow Water Lake","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","South Fork Reservoir","Nevada","Fall 2022",352,0,15,0,0,0,0,0,25,0,7,1,0,16,0,5,0,62,1,3,2,0,0,0,0,0,0,36,0,0,2,4,1,0,2,0,0,0,97,0,5,68,0,0
"72","Springs Preserve (former Las Vegas SP","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Swan Lake NSA","Nevada","Fall 2022",2434,0,5,0,0,0,0,0,647,0,0,0,0,215,0,7,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1516,0,0
"74","Upper Las Vegas Wash","Nevada","Fall 2022",50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,11,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0
"75","Wabuska Marshes","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Walker Lake","Nevada","Fall 2022",55,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
"77","Warm Springs Reservoir","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Washoe Lake wetlands","Nevada","Fall 2022",79,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,66,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"79","Wells WTP","Nevada","Fall 2022",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0
"80","West Wendover WTP","Nevada","Fall 2022",39,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0
"81","White Lake","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Wildhorse Reservoir SRA","Nevada","Fall 2022",185,0,2,0,0,0,0,0,39,0,0,0,0,13,0,0,0,1,44,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
"83","Willow Creek Reservoir","Nevada","Fall 2022",250,0,0,0,0,0,0,0,12,0,1,0,0,5,0,0,0,64,0,4,0,0,0,1,0,0,0,103,0,0,0,2,0,0,3,0,0,0,35,0,0,20,0,0
"84","Wilson Reservoir SRA","Nevada","Fall 2022",345,0,0,0,0,0,0,0,12,0,4,1,0,12,0,0,0,120,0,33,2,0,0,0,0,0,0,24,0,0,0,0,0,1,2,0,0,0,120,0,1,13,0,0
"85","Winnemucca Lake","Nevada","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Zaga Ranch Pond","Nevada","Fall 2022",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"87","Zunino Reservoir (Jiggs)","Nevada","Fall 2022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Bitter Lake NWR","New Mexico","Fall 2022",429,0,50,0,0,0,0,0,92,0,58,0,0,28,0,19,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,16,48,0,0
"89","Bosque del Apache NWR","New Mexico","Fall 2022",39,1,0,0,0,0,0,0,9,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,4,0,0
"90","Las Vegas NWR","New Mexico","Fall 2022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Alkali Lakes","Oregon","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Antelope Reservoir","Oregon","Fall 2022",60,0,40,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","Burns Sewage Ponds","Oregon","Fall 2022",295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,1,0,0,0,5,0,0,113,0,0
"94","Cow Lakes","Oregon","Fall 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Harney Basin","Oregon","Fall 2022",2574,6,456,0,0,0,0,0,531,0,4,4,0,296,3,8,0,46,4,399,2,0,0,0,0,0,0,48,0,0,0,5,0,0,10,0,0,0,296,0,0,381,0,0
"96","Klamath Basin","Oregon","Fall 2022",9266,41,5104,28,6,0,0,0,2948,0,0,1,0,522,0,28,0,71,0,62,1,0,0,0,0,0,0,10,0,0,0,0,0,1,5,0,0,0,360,0,0,67,10,0
"97","Lake Abert","Oregon","Fall 2022",2750,0,0,1050,0,0,0,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Malheur Lake and NWR","Oregon","Fall 2022",9193,0,5500,0,0,0,0,0,177,0,5,0,0,162,0,32,0,0,1,380,14,86,0,3,0,0,0,650,0,0,0,0,0,1,5,0,0,0,1324,0,1,850,2,0
"99","Summer Lake","Oregon","Fall 2022",7765,413,1393,930,27,0,0,0,650,0,3,1,0,2538,0,47,0,88,24,62,4,277,0,0,0,0,0,306,0,0,4,2,0,0,15,0,0,0,0,0,0,966,5,0
"100","Warner Valley","Oregon","Fall 2022",48,23,0,0,6,0,0,0,8,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
"101","Amalga Barrens Sanctuary","Utah","Fall 2022",58,0,0,5,9,0,0,0,20,0,0,0,0,6,0,6,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"102","Fish Springs NWR","Utah","Fall 2022",697,0,9,0,11,0,0,0,179,0,13,12,0,48,0,9,0,9,4,0,5,1,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,98,1,28,147,0,0
"103","Great Salt Lake","Utah","Fall 2022",221118,1712,3366,57090,29,0,0,2165,25399,0,388,16,0,19025,19,230,1,712,45,132,134,1057,0,1,0,1,1,71517,0,0,256,4,8,3,73,11,0,0,890,0,72,36470,27,0
"104","Utah Lake","Utah","Fall 2022",6273,33,0,30,10,0,0,0,4159,0,3,0,0,233,0,3,0,268,0,12,16,4,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,160,0,4,1225,0,0
"105","Hutton Lake NWR","Wyoming","Fall 2022",217,0,0,0,0,0,0,0,13,0,78,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,115,0,0
"106","Pathfinder NWR","Wyoming","Fall 2022",3084,0,0,0,0,0,0,0,963,0,710,0,0,3,0,12,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1377,0,0
"107","Buenos Aires NWR","Arizona","Fall 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Cibola NWR","Arizona","Fall 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","El Rio Preserve","Arizona","Fall 2023",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"110","Gilbert Riparian Preserve","Arizona","Fall 2023",58,0,0,0,0,0,0,0,0,0,0,0,0,28,0,6,0,18,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"111","Glendale Recharge Basin","Arizona","Fall 2023",630,0,154,0,0,0,0,0,6,0,0,0,0,132,0,14,0,43,0,257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,12,0,0,6,0,0
"112","Havasu NWR","Arizona","Fall 2023",71,33,1,0,0,0,0,0,4,0,0,0,0,8,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,1,2,0,0
"113","Higley and Ocotillo WRPs","Arizona","Fall 2023",120,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,30,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,19,0,0,0,0,0
"114","San Bernardino NWR","Arizona","Fall 2023",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
